30 0.000343
40 0.000677
50 0.00111
60 0.001304
70 0.002993
80 0.004584
90 0.00528
100 0.008219
110 0.008584
120 0.007124
130 0.008513
140 0.014919
150 0.014076
160 0.021007
170 0.017015
180 0.020751
190 0.027653
200 0.030079
210 0.034809
220 0.043697
230 0.044579
240 0.052884
250 0.055034
260 0.058148
270 0.073608
280 0.079958
290 0.075258
300 0.092827
310 0.098015
320 0.112971
330 0.118013
340 0.126333
350 0.128388
360 0.142162
370 0.151209
380 0.159104
390 0.179792
400 0.195814
410 0.200951
420 0.212554
430 0.221629
440 0.258756
450 0.245384
460 0.246052
470 0.274496
480 0.299408
490 0.31775
500 0.325897
